"","x"
"226","B-NP_702_aligned_1811_R_0_334_0"
"227","B-PB1_1571_aligned_1820_R_0_389_0"
"228","B-PA_12_aligned_1828_F_0_246_0"
"229","B-PB1_1160_aligned_1835_F_0_135_0"
"230","B-PB1_1479_aligned_1842_F_0_234_0"
"231","B-NA_570_aligned_1848_F_0_123_0"
"232","B-PB1_1058_aligned_1856_F_0_146_0"
"233","B-PB2_946_aligned_1862_R_0_346_0"
"234","B-NP_202_aligned_1868_R_0_368_0"
"235","B-NS_763_aligned_1875_R_0_196_0"
"236","B-HA_349_aligned_1891_F_0_366_0"
"237","B-PB1_368_aligned_1899_F_0_303_0"
"238","B-PB2_697_aligned_1907_F_0_253_0"
"239","B-NP_559_aligned_1913_F_0_224_0"
"240","B-NP_478_aligned_1926_F_0_356_0"
"241","B-PB1_1913_aligned_1934_R_0_325_0"
"242","B-PB1_1343_aligned_1942_F_0_396_0"
"243","B-NA_816_aligned_1950_F_0_297_0"
"244","B-PB2_1069_aligned_1958_R_0_274_0"
"245","B-NA_616_aligned_1966_F_0_176_0"
"246","B-HA_556_aligned_1974_R_0_312_0"
"247","B-NA_1091_aligned_1981_R_0_208_0"
"248","B-NA_441_aligned_1987_R_0_393_0"
"249","B-NP_1075_aligned_1992_R_0_234_0"
"250","B-PB2_298_aligned_1997_R_0_363_0"
"251","B-NP_588_aligned_0_F_0_121_0"
"252","B-PB1_162_aligned_8_F_0_259_0"
"253","B-PB2_1132_aligned_15_R_0_247_0"
"254","B-HA_409_aligned_23_F_0_223_0"
"255","B-MP_814_aligned_31_F_0_212_0"
"256","B-PB1_630_aligned_39_R_0_237_0"
"257","B-NP_257_aligned_47_F_0_149_0"
"258","B-HA_1038_aligned_55_R_0_357_0"
"259","B-PB1_348_aligned_63_R_0_89_0"
"260","B-HA_1348_aligned_71_F_0_325_0"
"261","B-PB1_179_aligned_79_R_0_131_0"
"262","B-NP_514_aligned_87_R_0_231_0"
"263","B-PB2_317_aligned_95_R_0_305_0"
"264","B-HA_1311_aligned_103_R_0_247_0"
"265","B-PA_582_aligned_111_F_0_227_0"
"266","B-HA_1175_aligned_119_F_0_196_0"
"267","B-MP_794_aligned_127_R_0_288_0"
"268","B-NS_647_aligned_135_F_0_169_0"
"269","B-PA_854_aligned_142_F_0_152_0"
"270","B-NP_833_aligned_150_F_0_258_0"
"271","B-NP_902_aligned_158_R_0_349_0"
"272","B-PB1_1763_aligned_165_R_0_137_0"
"273","B-MP_93_aligned_173_F_0_255_0"
"274","B-PB2_1593_aligned_181_F_0_387_0"
"275","B-PB2_423_aligned_187_R_0_360_0"
"276","B-NP_1520_aligned_195_R_0_138_0"
"277","B-NA_1057_aligned_206_F_0_183_0"
"278","B-PA_1656_aligned_212_R_0_357_0"
"279","B-HA_205_aligned_220_R_0_282_0"
